Year,Area,Production,Yield,Area Under Irrigation(%),agricultural workers ,Consumption of Fertilisers,co-operatives credit,SCB's credit,Total Direct Agriculture credit,Agricultural Imports,Agricultural exports,Import Export ratio,Electricity consumption for Agricultural purposes (GWh),% Share of electricity for  Agricultural Consumption to Total Consumption,Per Capita Net Availability of Foodgrains (Per Annum) in India (Kilograms per year),Per Capita Net Availability of Foodgrains (Per Day) in India (Grams per day),Net area Sown,Total cropped area,Area sown more than once,Net irrigated area,Gross irrigated area,Area Irrigated more than once,GDP Agriculture and Allied sector ( at current prices),GDP Agriculture and Allied sector (at constant 2004-05 prices),% Share of Agriculture and Allied sector to total GDP (at current prices),% Share of Agriculture and Allied sector to total GDP (at constant 2004-05 prices),Growth Rate of GDP Agri. & Allied Sector (at current prices),Growth Rate of GDP Agri. & Allied Sector (at constant 2004-05 prices)
1990,127.84,176.39,1380,35.07,185.3,12546.2,4819,335,5154,1205.86,6012.76,0.200550163,50321,26.44,186.2,510.1,143,185.74,42.74,48.02,63.2,15.18,154350,397971,29.02,29.53,16.7,4.02
1991,121.87,168.38,1382,37.37,,12728,5797,596,6393,1478.27,7838.04,0.188601997,58557,28.2,171.1,468.8,141.63,182.24,40.61,49.87,65.68,15.81,180313,390201,29.39,28.54,16.82,-1.95
1992,123.15,179.48,1457,37.42,,12154.5,6484,698,7182,2876.25,9040.3,0.318158689,63328,28.7,169.4,464.1,142.72,185.7,42.98,50.29,66.76,16.47,202219,416153,28.74,28.89,12.15,6.65
1993,122.75,184.26,1501,38.66,,12366,8484,752,9236,2327.33,12586.55,0.18490611,70699,29.63,172,471.2,142.34,186.58,44.25,51.34,68.26,16.92,234566,429981,28.68,28.24,16,3.32
1994,123.86,191.5,1546,39.61,,13563,9876,1083,10959,5937.21,13222.76,0.449014427,79301,30.54,180.8,495.5,142.96,188.05,45.09,53,70.65,17.65,270107,450258,28.27,27.8,15.15,4.72
1995,121.01,180.42,1491,40.13,,13867.1,12483,1381,13864,5890.1,20397.74,0.288762382,85732,30.95,173.5,475.2,142.2,187.47,45.27,53.4,71.35,17.95,293701,447127,26.26,25.73,8.74,-0.7
1996,123.58,199.34,1614,41.71,,14308.1,13254,1748,15002,6612.6,24161.29,0.273685718,84019,29.98,183.6,503.1,142.93,189.5,46.57,55.11,76.03,20.91,353142,491484,27.13,26.19,20.24,9.92
1997,124.07,192.26,1552,41.71,,16187.9,14159,2103,16262,8784.19,24832.45,0.353738354,91242,30.75,163.2,447,141.95,189.99,48.04,55.21,75.67,20.46,374744,478933,25.89,24.47,6.12,-2.55
1998,125.17,203.61,1627,43.31,,16797.5,15099,2515,17614,14566.48,25510.64,0.570996259,97195,31.38,170,465.7,142.75,191.65,48.9,57.44,78.67,21.23,430384,509203,25.79,24.39,14.85,6.32
1999,123.1,209.8,1704,44.63,,18069.7,25678,2985,28663,16066.73,25313.66,0.634705926,90934,29.07,165.9,454.4,141.06,188.4,47.33,57.53,79.22,21.69,455302,522795,24.65,23.27,5.79,2.67
2000,121.05,196.81,1626,43.7,234.1,16702.3,27295,3966,31261,12086.23,28657.37,0.421749449,84729,26.76,151.9,416.2,141.34,185.34,44,55.2,76.19,20.98,460608,522755,23.12,22.31,1.17,-0.01
2001,122.78,212.85,1734,43.58,,17359.7,30569,4546,35115,16256.61,29728.61,0.546833841,81673,25.33,180.4,494.1,140.73,188.01,47.28,56.94,78.37,21.44,498620,554157,23,22.42,8.25,6.01
2002,113.86,174.77,1535,43.42,,16094.1,34040,5879,39919,17608.83,34653.94,0.508133563,84486,24.88,159.7,437.6,131.94,173.89,41.95,53.9,73.06,19.16,485080,517559,20.75,20.13,-2.72,-6.6
